SOCD,aspect,AWC,bio1,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19,bio2,bio3,bio4,bio5,bio6,bio7,bio8,bio9,clay,dem,dtr,fwi,GPP,gppmax,landuse85,lstday,lstnight,ndvimax,ndvimean,ndvimin,ndvistd,ph,roughness,samt,sand,silt,slope,srad,tdchange,tpi,tri,twi,vapr,wind,WRB2
0.005783,2.356194496,119,25.63333321,26.16666603,24.81666565,2139,293,32,57.95225143,844,119,529,119,10.69999981,77.53623962,57.30035782,32.09999847,18.29999924,13.79999924,25.85000038,24.81666565,21,122,10.82432461,0.399379969,9.070033073,8.628399849,3,15062,14741,0.836210549,0.562303722,0.836578965,0.304778636,4.900000095,3,307.6000061,52,27,0.020257115,13645.83301,1111,0,1.25,15.54837894,2.810833454,0.908333302,20
0.131452,2.356194496,119,26.54166603,26.85000038,26.21666718,2286,266,95,33.05678558,761,327,471,467,9.050000191,87.0192337,25.65799904,31.89999962,21.5,10.39999962,26.5,26.60000038,21,76,13.82022953,0.117209919,8.356017113,8.221400261,3,15042,14766,0.824157953,0.525937498,0.828289509,0.324981749,4.900000095,5,318.5,52,27,0.060771327,13988.75,1111,-1,1.5,14.10319233,2.985833406,1.058333397,20
0.213345,5.345137596,163,26.125,26.54999924,25.48333359,2699,290,140,22.68093109,815,468,724,471,9.816666603,86.11109924,43.92660904,31.70000076,20.29999924,11.40000153,26.18333435,25.66666603,31,97,14.30916691,0.267650098,7.439949989,7.591800213,21,15055,14752,0.778210521,0.469372839,0.752973735,0.319649369,6.099999905,10,313.3999939,37,32,0.133220151,12886.5,3333,0,2.5,12.97173309,2.874166727,0.75,4
0.277558131,1.801887035,137,25.90833282,26.41666794,25.43333244,1883,301,7,74.69145966,857,33,491,64,11.80000019,72.39263916,42.6845665,34.09999847,17.79999924,16.29999924,25.79999924,25.53333282,23,232,14.38390827,7.753977776,0,3.690000057,3,15312,14720,0.800578952,0.52388382,0.681421101,0.282925934,5.099999905,21,310.6000061,59,18,0.500301182,15299.08301,1111,-2.875,6.625,11.30192852,2.644999981,1.458333373,1
0.317113686,3.141592741,163,26.40416718,27.31666756,25.14999962,1621,297,3,86.23439789,822,14,407,29,11.89166641,69.13759613,89.88523102,34.40000153,17.20000076,17.20000076,26.66666603,25.20000076,31,196,15.01795959,17.10365105,5.321899891,2.819000006,21,15362,14779,0.67963165,0.396120638,0.528921127,0.260788172,6.099999905,4,316.7999878,37,32,0.057295762,16029.16699,3333,-1.375,1.375,13.81551075,2.563333273,1.350000024,4
0.327748378,0.785398185,137,26.63333321,27.29999924,25.85000038,1915,354,28,74.79284668,951,100,155,950,10.65000057,78.308815,56.17881775,33.90000153,20.29999924,13.60000229,26.01666641,27.11666679,23,115,12.90893936,2.857484818,8.824183464,6.318200111,15,15258,14756,0.75560534,0.48938489,0.706052661,0.293243915,5.099999905,12,319.5,59,18,0.121542521,15304.08301,3333,0.625,2.625,13.75661945,2.787499905,1.575000048,1
0.401928559,2.356194496,83,25.46666718,27.11666679,22.64999962,1295,216,21,67.2462616,600,68,451,68,11.76666641,63.60359573,194.9514465,33.40000153,14.89999962,18.50000191,26.93333435,22.64999962,6,111,14.35443115,18.9919796,8.923299789,6.233399868,12,15189,14670,0.77671057,0.476771951,0.666210532,0.295175374,5.699999809,2,305.6000061,84,10,0.020257115,15306.08301,2222,0.25,0.5,14.50865746,2.424999952,1.674999952,9
0.418643752,4.951620579,137,25.40833282,26.20000076,24.11666679,1715,268,24,62.55195236,744,90,553,90,10.60000038,70.19868469,90.87536621,32.09999847,17,15.09999847,25.91666603,24.11666679,23,211,11.32319832,3.81967473,0,9.32060051,3,15128,14709,0.782842159,0.539305925,0.617473722,0.234087616,5.099999905,39,304.7000122,59,18,0.6044752,13750.91699,1333,-13.375,15.375,11.11276627,2.563333273,1.258333325,1
0.459803722,2.143839359,0,24.53333282,25.06666565,24.11666679,1575,193,89,23.76336098,491,284,406,313,11.5666666,87.62625885,40.24547958,31,17.79999924,13.20000076,24.34999847,24.11666679,14,863,10.84107208,3.780025005,9.261699677,9.084600449,3,14939,14609,0.856289506,0.537131608,0.853684247,0.339685649,6.400000095,261,296,68,18,5.032968521,13758.25,1111,10.25,70,9.337395668,2.382499933,1.033333302,11
0.492377168,5.907224178,0,25.66666603,26.30000114,25.23333359,2138,349,5,74.99143219,987,35,301,954,11.48333359,69.17670441,45.69331741,34.20000076,17.60000038,16.60000038,25.25,25.61666679,31,271,13.22832298,7.410210609,9.716866493,6.00579977,3,15044,14734,0.810289502,0.497441918,0.740894735,0.321706712,5,57,310.5,53,16,0.585161448,14461.16699,1111,-32.625,34.125,11.49181461,2.505000114,1.316666603,1
